,user_id,week,creation_source,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,visited,adopted_user
0,1,17,GUEST_INVITE,1,0,11,1,No
1,2,14,ORG_INVITE,0,0,1,14,yes
2,3,12,ORG_INVITE,0,0,94,1,No
3,4,21,GUEST_INVITE,0,0,1,1,No
4,5,4,GUEST_INVITE,0,0,193,1,No
5,6,51,GUEST_INVITE,0,0,197,1,No
6,7,51,SIGNUP,0,1,37,1,No
7,10,23,ORG_INVITE,1,1,318,284,yes
8,11,52,SIGNUP,0,0,69,1,No
9,13,13,ORG_INVITE,0,0,254,1,No
10,14,41,SIGNUP,0,0,0,1,No
11,17,15,GUEST_INVITE,1,0,175,1,No
12,19,22,SIGNUP,1,0,0,2,No
13,20,22,SIGNUP,0,0,58,7,yes
14,21,4,PERSONAL_PROJECTS,0,0,54,1,No
15,22,7,ORG_INVITE,0,0,7,1,No
16,23,33,ORG_INVITE,1,0,6,1,No
17,24,37,SIGNUP,1,0,123,1,No
18,25,9,GUEST_INVITE,1,0,81,2,No
19,27,3,ORG_INVITE,0,0,134,1,No
20,28,7,SIGNUP,0,0,6,1,No
21,29,38,SIGNUP,0,0,92,1,No
22,30,23,GUEST_INVITE,0,0,251,1,No
23,31,4,SIGNUP,0,0,283,1,No
24,33,22,GUEST_INVITE,0,0,401,18,yes
25,36,32,GUEST_INVITE,1,0,109,1,No
26,37,39,SIGNUP,0,0,276,1,No
27,41,18,ORG_INVITE,0,0,64,1,No
28,42,21,SIGNUP,1,0,235,342,yes
29,43,16,GUEST_INVITE,0,0,63,8,yes
30,44,22,SIGNUP,0,0,14,1,No
31,45,18,SIGNUP_GOOGLE_AUTH,1,0,4,1,No
32,46,1,ORG_INVITE,0,0,127,1,No
33,47,23,ORG_INVITE,1,1,32,1,No
34,48,45,ORG_INVITE,0,0,224,1,No
35,49,41,SIGNUP,0,0,304,1,No
36,50,43,GUEST_INVITE,0,0,61,17,yes
37,51,34,ORG_INVITE,0,1,0,1,No
38,53,18,GUEST_INVITE,0,0,37,9,yes
39,54,12,GUEST_INVITE,1,1,51,1,No
40,55,29,SIGNUP_GOOGLE_AUTH,0,0,229,1,No
41,56,49,GUEST_INVITE,0,0,229,1,No
42,57,47,GUEST_INVITE,0,0,88,1,No
43,58,5,ORG_INVITE,1,0,304,1,No
44,59,22,SIGNUP_GOOGLE_AUTH,0,0,325,3,yes
45,60,20,ORG_INVITE,0,0,88,8,yes
46,61,20,SIGNUP_GOOGLE_AUTH,0,0,150,1,No
47,63,23,SIGNUP_GOOGLE_AUTH,0,0,203,362,yes
48,64,11,SIGNUP,0,0,21,1,No
49,65,35,SIGNUP_GOOGLE_AUTH,0,0,409,1,No
50,66,6,ORG_INVITE,0,0,215,1,No
51,67,17,ORG_INVITE,0,0,141,1,No
52,68,4,SIGNUP_GOOGLE_AUTH,1,0,5,1,No
53,69,22,GUEST_INVITE,0,0,107,521,yes
54,72,34,SIGNUP,0,0,367,1,No
